Test folder: ./output/medical/medical_train_12241_74733/medical_data_12241_74733_split/shared/avg/mpnet/contra-query-False1False/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-2-33k| 0.7654 | 0.7654 | 0.6067 |  0.92  |  0.98  | 0.6067 | 0.3067 | 0.196  | 0.6434 
ours-2-28k| 0.7635 | 0.7635 | 0.6067 | 0.9267 | 0.9733 | 0.6067 | 0.3089 | 0.1947 | 0.643  
ours-4-61k| 0.7663 | 0.7663 | 0.6233 | 0.8967 | 0.9733 | 0.6233 | 0.2989 | 0.1947 | 0.6428 
ours-1-23k| 0.7625 | 0.7625 | 0.6033 |  0.92  | 0.9833 | 0.6033 | 0.3067 | 0.1967 | 0.6423 
ours-3-37k| 0.7632 | 0.7632 |  0.61  |  0.91  |  0.98  |  0.61  | 0.3033 | 0.196  | 0.642  
ours-0-7k | 0.7579 | 0.7579 | 0.6033 | 0.9133 | 0.9867 | 0.6033 | 0.3044 | 0.1973 | 0.6405 
ours-3-44k| 0.7607 | 0.7607 |  0.61  | 0.9033 |  0.98  |  0.61  | 0.3011 | 0.196  | 0.6402 
ours-2-36k| 0.7582 | 0.7582 |  0.6   | 0.9167 | 0.9767 |  0.6   | 0.3056 | 0.1953 | 0.6388 
ours-3-48k| 0.7564 | 0.7564 | 0.5967 | 0.9133 | 0.9833 | 0.5967 | 0.3044 | 0.1967 | 0.638  
ours-1-22k| 0.758  | 0.758  | 0.6067 |  0.9   | 0.9767 | 0.6067 |  0.3   | 0.1953 | 0.6377 
ours-4-58k| 0.7576 | 0.7576 | 0.6067 | 0.9033 | 0.9733 | 0.6067 | 0.3011 | 0.1947 | 0.6376 
ours-2-34k| 0.7511 | 0.7511 | 0.5867 |  0.93  |  0.98  | 0.5867 |  0.31  | 0.196  | 0.6364 
ours-2-29k| 0.7528 | 0.7528 | 0.5933 |  0.91  | 0.9867 | 0.5933 | 0.3033 | 0.1973 | 0.6362 
ours-4-52k| 0.7505 | 0.7505 | 0.5933 | 0.9167 |  0.98  | 0.5933 | 0.3056 | 0.196  | 0.6357 
ours-4-59k| 0.7614 | 0.7614 |  0.61  | 0.8867 | 0.9667 |  0.61  | 0.2956 | 0.1933 | 0.6356 
ours-4-55k| 0.7556 | 0.7556 |  0.61  | 0.8967 |  0.96  |  0.61  | 0.2989 | 0.192  | 0.6348 
ours-3-39k| 0.7566 | 0.7566 | 0.6067 |  0.89  |  0.97  | 0.6067 | 0.2967 | 0.194  | 0.6346 
ours-3-46k| 0.7498 | 0.7498 |  0.59  | 0.9167 | 0.9733 |  0.59  | 0.3056 | 0.1947 | 0.6337 
ours-2-31k| 0.7486 | 0.7486 |  0.59  | 0.8967 | 0.9833 |  0.59  | 0.2989 | 0.1967 | 0.6316 
ours-4-49k| 0.7483 | 0.7483 | 0.5833 | 0.9067 | 0.9833 | 0.5833 | 0.3022 | 0.1967 | 0.6315 
ours-4-54k| 0.7503 | 0.7503 |  0.6   | 0.8867 | 0.9733 |  0.6   | 0.2956 | 0.1947 | 0.6314 
ours-4-57k| 0.7497 | 0.7497 | 0.6067 | 0.8733 | 0.9767 | 0.6067 | 0.2911 | 0.1953 | 0.6311 
ours-4-53k| 0.7433 | 0.7433 |  0.58  |  0.9   | 0.9667 |  0.58  |  0.3   | 0.1933 | 0.6258 
ours-4-56k| 0.7462 | 0.7462 | 0.5933 | 0.8733 | 0.9667 | 0.5933 | 0.2911 | 0.1933 | 0.6254 
ours-3-40k| 0.7416 | 0.7416 |  0.58  | 0.8867 | 0.9733 |  0.58  | 0.2956 | 0.1947 | 0.6242 
