Test folder: ./output/december/train_data_13142/data_13142/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
------------------------------------------------------------------------------------------
mpnet     | 0.6892 | 0.7061 |  0.5   | 0.8675 | 0.9495 |  0.5   | 0.3377 | 0.234  | 0.598  
bert      | 0.6072 | 0.6155 | 0.382  | 0.7757 | 0.8929 | 0.382  | 0.3023 | 0.2182 | 0.522  
bert-tiny | 0.6509 | 0.6638 | 0.439  | 0.8338 | 0.9341 | 0.439  | 0.322  | 0.2292 | 0.564  
ance      | 0.6462 | 0.657  | 0.441  | 0.8133 | 0.9237 | 0.441  | 0.3187 | 0.2282 | 0.5586 
roberta   | 0.6564 | 0.6683 |  0.45  | 0.8333 | 0.938  |  0.45  | 0.3263 | 0.2314 | 0.5692 
dpr       | 0.5866 | 0.5964 | 0.358  | 0.7608 | 0.9005 | 0.358  | 0.297  | 0.2214 | 0.5098 
tas-b     | 0.6475 | 0.6631 | 0.439  | 0.8287 | 0.9309 | 0.439  | 0.3247 | 0.2306 | 0.5629 
bert2     | 0.6627 | 0.6763 | 0.465  | 0.8402 | 0.9339 | 0.465  | 0.3283 | 0.2316 | 0.5754 
sbert     | 0.6809 | 0.6963 | 0.487  | 0.8578 | 0.9507 | 0.487  | 0.336  | 0.2348 | 0.5913 
ours-3-47k| 0.8146 | 0.8345 | 0.719  | 0.9133 | 0.9614 | 0.719  | 0.363  | 0.2402 | 0.6956 
ours-3-50k| 0.8122 | 0.8319 | 0.713  |  0.92  | 0.9621 | 0.713  | 0.3657 | 0.241  | 0.6949 
ours-3-49k| 0.8136 | 0.8332 |  0.72  | 0.908  | 0.9549 |  0.72  | 0.3617 | 0.2374 | 0.6936 
ours-4-54k| 0.8106 | 0.8317 | 0.718  | 0.9047 | 0.9548 | 0.718  | 0.3603 | 0.2386 | 0.6921 
ours-3-48k| 0.8114 | 0.8312 | 0.714  | 0.9082 | 0.9545 | 0.714  | 0.3607 | 0.237  | 0.6914 
ours-2-32k| 0.8099 | 0.8284 | 0.705  | 0.917  | 0.9609 | 0.705  | 0.3637 | 0.2406 | 0.6913 
ours-3-46k| 0.8103 | 0.8289 | 0.712  | 0.9087 | 0.9536 | 0.712  | 0.3617 | 0.2392 | 0.6908 
ours-1-22k| 0.8051 | 0.8241 | 0.698  |  0.92  | 0.9646 | 0.698  | 0.3643 | 0.2414 | 0.6894 
ours-1-23k| 0.8072 | 0.8252 | 0.702  | 0.9152 | 0.9597 | 0.702  | 0.3637 | 0.2402 | 0.6894 
ours-2-33k| 0.8065 | 0.8253 | 0.699  | 0.9167 | 0.9611 | 0.699  | 0.3647 | 0.2406 | 0.6891 
ours-2-29k| 0.8066 | 0.8252 | 0.702  | 0.9167 | 0.9563 | 0.702  | 0.3643 | 0.239  | 0.689  
ours-2-36k| 0.8065 | 0.8248 | 0.703  | 0.9112 | 0.9581 | 0.703  | 0.3623 | 0.2402 | 0.6887 
ours-2-37k| 0.8085 | 0.8266 | 0.702  | 0.9107 | 0.9573 | 0.702  | 0.3617 | 0.2394 | 0.6885 
ours-2-38k| 0.808  | 0.8253 | 0.703  | 0.9072 | 0.9573 | 0.703  |  0.36  | 0.2386 | 0.6878 
ours-2-34k| 0.8061 | 0.8258 | 0.704  | 0.9062 | 0.9577 | 0.704  | 0.3593 | 0.2392 | 0.6878 
ours-1-25k| 0.8045 | 0.8234 | 0.696  | 0.9138 | 0.9628 | 0.696  | 0.364  | 0.241  | 0.6877 
ours-4-64k| 0.8024 | 0.8224 | 0.703  | 0.911  | 0.9515 | 0.703  | 0.364  | 0.2384 | 0.687  
ours-2-35k| 0.8049 | 0.8249 | 0.701  | 0.906  | 0.959  | 0.701  | 0.358  | 0.2398 | 0.6868 
ours-1-20k| 0.803  | 0.8229 | 0.694  | 0.9187 | 0.9592 | 0.694  | 0.3623 | 0.239  | 0.6866 
ours-3-51k| 0.8024 | 0.8234 | 0.701  | 0.907  | 0.9574 | 0.701  | 0.3587 | 0.2382 | 0.6861 
ours-3-44k| 0.8042 | 0.824  | 0.702  |  0.91  | 0.9486 | 0.702  | 0.3617 | 0.2354 | 0.686  
ours-4-62k| 0.802  | 0.8224 | 0.705  | 0.8985 | 0.956  | 0.705  | 0.357  | 0.2388 | 0.6856 
ours-1-16k| 0.8031 | 0.8216 |  0.69  | 0.9143 | 0.9645 |  0.69  | 0.3603 | 0.2394 | 0.6854 
ours-1-21k| 0.8026 | 0.8228 | 0.693  | 0.9118 | 0.9584 | 0.693  | 0.3607 | 0.2394 | 0.6852 
ours-3-43k| 0.8028 | 0.8232 | 0.704  | 0.9002 | 0.9527 | 0.704  | 0.3567 | 0.2376 | 0.6852 
ours-2-31k| 0.8044 | 0.8226 | 0.701  |  0.9   | 0.9568 | 0.701  | 0.3557 | 0.2388 | 0.685  
ours-4-53k| 0.8008 | 0.8206 | 0.696  | 0.9092 | 0.9564 | 0.696  | 0.362  | 0.2384 | 0.6849 
ours-4-61k| 0.8023 | 0.8222 | 0.703  | 0.9018 | 0.9525 | 0.703  | 0.357  | 0.2372 | 0.6849 
ours-3-41k| 0.8051 | 0.8227 |  0.7   | 0.8993 | 0.9553 |  0.7   | 0.358  | 0.2382 | 0.6848 
ours-3-52k| 0.8022 | 0.8222 | 0.699  | 0.9038 | 0.9537 | 0.699  |  0.36  | 0.2372 | 0.6846 
ours-4-56k| 0.8003 | 0.8208 | 0.698  | 0.9037 | 0.9583 | 0.698  | 0.3593 | 0.2384 | 0.6846 
ours-1-24k| 0.8012 | 0.8213 | 0.696  | 0.907  | 0.9578 | 0.696  | 0.3583 | 0.2388 | 0.6846 
ours-2-30k| 0.802  | 0.8198 | 0.698  | 0.904  | 0.9564 | 0.698  | 0.358  | 0.2388 | 0.6844 
ours-2-39k| 0.8036 | 0.8223 | 0.695  | 0.9052 | 0.9554 | 0.695  | 0.359  | 0.2382 | 0.6842 
ours-3-42k| 0.8004 | 0.8207 | 0.696  | 0.9053 | 0.9576 | 0.696  | 0.3587 | 0.2384 | 0.6841 
ours-2-28k| 0.8013 | 0.8196 | 0.692  | 0.9108 | 0.9559 | 0.692  | 0.3617 | 0.2376 | 0.6839 
ours-4-65k| 0.7999 | 0.8184 | 0.694  | 0.9077 | 0.9562 | 0.694  | 0.3603 | 0.2396 | 0.6838 
ours-1-18k| 0.8024 |  0.82  | 0.691  | 0.908  | 0.9598 | 0.691  | 0.3577 | 0.2392 | 0.6836 
ours-2-27k| 0.7999 | 0.8195 | 0.689  | 0.9122 | 0.9587 | 0.689  | 0.3617 | 0.239  | 0.6836 
ours-4-60k| 0.8006 | 0.8209 | 0.704  | 0.8943 | 0.9516 | 0.704  | 0.3563 | 0.2372 | 0.6836 
ours-3-40k| 0.8003 | 0.8205 | 0.694  | 0.9042 | 0.9578 | 0.694  | 0.3583 | 0.2392 | 0.6835 
ours-3-45k| 0.8005 | 0.8176 | 0.695  | 0.9025 | 0.9578 | 0.695  | 0.3573 | 0.2386 | 0.683  
ours-0-9k | 0.7994 | 0.8189 | 0.682  | 0.9185 | 0.9597 | 0.682  | 0.362  | 0.2388 | 0.6827 
ours-1-19k| 0.7982 | 0.8162 | 0.683  | 0.9128 | 0.9635 | 0.683  | 0.3613 | 0.2414 | 0.6824 
ours-0-10k| 0.799  | 0.8178 | 0.683  | 0.916  | 0.9597 | 0.683  | 0.3613 | 0.2394 | 0.6824 
ours-4-55k| 0.7986 | 0.8179 | 0.693  | 0.9028 | 0.9496 | 0.693  | 0.3607 | 0.237  | 0.6816 
ours-1-15k| 0.7989 | 0.8175 | 0.683  | 0.9143 | 0.9574 | 0.683  | 0.3603 | 0.2378 | 0.6815 
ours-1-17k| 0.7976 | 0.8175 | 0.682  | 0.9083 | 0.9662 | 0.682  | 0.358  | 0.2404 | 0.6815 
ours-4-59k| 0.7984 | 0.8166 | 0.695  | 0.8973 | 0.9467 | 0.695  | 0.357  | 0.2354 | 0.6802 
ours-4-58k| 0.7985 | 0.8167 | 0.696  | 0.8905 | 0.9482 | 0.696  | 0.3537 | 0.2356 | 0.6794 
ours-4-63k| 0.7927 | 0.8143 | 0.692  | 0.8965 | 0.9512 | 0.692  | 0.355  | 0.2368 | 0.6788 
ours-4-57k| 0.7938 | 0.8148 |  0.69  | 0.8968 | 0.9483 |  0.69  | 0.357  | 0.2356 | 0.6783 
ours-0-11k| 0.7909 | 0.8088 | 0.666  |  0.92  | 0.962  | 0.666  | 0.364  | 0.2396 | 0.6772 
ours-1-14k| 0.7922 | 0.8126 | 0.674  | 0.9072 | 0.9584 | 0.674  | 0.357  | 0.2374 | 0.6766 
ours-0-12k| 0.7913 | 0.8094 | 0.667  | 0.9155 | 0.9619 | 0.667  | 0.361  | 0.2384 | 0.6764 
ours-0-13k| 0.7927 | 0.8134 | 0.674  | 0.907  | 0.9562 | 0.674  | 0.3563 | 0.2368 | 0.6763 
ours-1-26k| 0.7905 |  0.81  | 0.671  | 0.9085 | 0.9602 | 0.671  | 0.3587 | 0.2388 | 0.6761 
ours-0-7k | 0.7777 | 0.7987 | 0.652  | 0.9097 | 0.9577 | 0.652  | 0.357  | 0.2376 | 0.6678 
ours-0-6k | 0.7786 | 0.799  | 0.651  | 0.9042 | 0.9562 | 0.651  | 0.3543 | 0.2374 | 0.6665 
ours-0-5k | 0.7755 | 0.7963 | 0.648  | 0.9042 | 0.9583 | 0.648  | 0.354  | 0.238  | 0.6653 
ours-0-8k | 0.7726 | 0.793  | 0.644  | 0.902  | 0.9558 | 0.644  | 0.3523 | 0.2372 | 0.6626 
ours-0-3k | 0.7644 | 0.7821 |  0.62  | 0.8997 | 0.9538 |  0.62  | 0.3497 | 0.2354 | 0.6531 
ours-0-4k | 0.7579 | 0.7741 | 0.602  | 0.9132 | 0.9577 | 0.602  | 0.357  | 0.2368 | 0.6501 
ours-0-2k | 0.7553 | 0.775  | 0.608  | 0.9015 | 0.952  | 0.608  | 0.3507 | 0.2348 | 0.6482 
ours-0-1k | 0.7443 | 0.7633 | 0.588  | 0.8952 | 0.9523 | 0.588  | 0.3483 | 0.2344 | 0.6392 
