Test folder: ./output/december/train_data_26366/data_26366/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-1-38k| 0.498  | 0.503  | 0.263  | 0.6327 | 0.8213 | 0.263  | 0.241  | 0.1986 | 0.4276 
ours-1-50k| 0.4962 | 0.5031 |  0.26  | 0.6287 |  0.83  |  0.26  | 0.241  | 0.201  | 0.4275 
ours-2-73k| 0.495  | 0.4985 | 0.254  | 0.6412 | 0.8292 | 0.254  | 0.244  | 0.199  | 0.4269 
ours-2-63k| 0.4962 | 0.4998 | 0.244  | 0.655  | 0.8265 | 0.244  | 0.2513 | 0.1978 | 0.4268 
ours-2-66k| 0.4969 | 0.5006 | 0.259  | 0.6247 | 0.8276 | 0.259  | 0.241  |  0.2   | 0.4261 
ours-4-115k| 0.4916 | 0.4943 | 0.232  | 0.6603 | 0.8399 | 0.232  | 0.251  | 0.2024 | 0.4254 
ours-1-51k| 0.4966 | 0.5006 | 0.258  | 0.6278 | 0.8251 | 0.258  | 0.2393 | 0.1966 | 0.4253 
ours-3-94k| 0.4954 | 0.4997 | 0.245  | 0.6447 | 0.8254 | 0.245  | 0.2457 | 0.1986 | 0.4249 
ours-3-82k| 0.4924 | 0.4958 | 0.253  | 0.6393 | 0.8264 | 0.253  | 0.2417 | 0.1972 | 0.4249 
ours-1-49k| 0.4925 | 0.4968 | 0.261  | 0.6293 | 0.8165 | 0.261  | 0.2397 | 0.1962 | 0.4241 
ours-2-70k| 0.4912 | 0.4986 | 0.252  | 0.6322 | 0.822  | 0.252  | 0.241  | 0.1974 | 0.4233 
ours-4-113k| 0.4915 | 0.4932 | 0.246  | 0.635  | 0.8223 | 0.246  | 0.2413 | 0.1994 | 0.4218 
ours-3-90k| 0.4874 | 0.4923 | 0.243  | 0.642  | 0.8222 | 0.243  | 0.245  | 0.1984 | 0.4217 
ours-4-114k| 0.4938 | 0.4931 | 0.242  | 0.6427 | 0.8155 | 0.242  | 0.2447 | 0.1984 | 0.4215 
ours-3-99k| 0.4894 | 0.4892 | 0.234  | 0.6445 | 0.826  | 0.234  | 0.246  | 0.1992 | 0.4203 
ours-2-72k| 0.4851 | 0.4908 | 0.236  | 0.6358 | 0.8263 | 0.236  | 0.242  | 0.1986 | 0.4188 
ours-1-41k| 0.4825 | 0.4874 | 0.232  | 0.6362 | 0.8223 | 0.232  | 0.243  | 0.2004 | 0.417  
ours-4-122k| 0.4821 | 0.4865 | 0.228  | 0.6478 | 0.8141 | 0.228  | 0.248  | 0.1984 | 0.4166 
ours-3-84k| 0.4841 | 0.4819 | 0.222  | 0.6432 | 0.8272 | 0.222  | 0.2447 | 0.1994 | 0.4156 
ours-3-87k| 0.4864 | 0.4875 |  0.24  | 0.6215 | 0.8144 |  0.24  | 0.236  | 0.1954 | 0.4151 
ours-3-85k| 0.4788 | 0.4903 | 0.246  | 0.6198 | 0.8025 | 0.246  | 0.2367 | 0.1924 | 0.4141 
ours-4-120k| 0.4775 | 0.4828 | 0.226  | 0.6212 | 0.809  | 0.226  | 0.2367 | 0.1934 | 0.4091 
