Test folder: ./output/december/train_data_26366/data_26366/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
------------------------------------------------------------------------------------------
mpnet     | 0.6892 | 0.7061 |  0.5   | 0.8675 | 0.9495 |  0.5   | 0.3377 | 0.234  | 0.598  
bert      | 0.6072 | 0.6155 | 0.382  | 0.7757 | 0.8929 | 0.382  | 0.3023 | 0.2182 | 0.522  
bert-tiny | 0.6509 | 0.6638 | 0.439  | 0.8338 | 0.9341 | 0.439  | 0.322  | 0.2292 | 0.564  
roberta   | 0.6564 | 0.6683 |  0.45  | 0.8333 | 0.938  |  0.45  | 0.3263 | 0.2314 | 0.5692 
sbert     | 0.6809 | 0.6963 | 0.487  | 0.8578 | 0.9507 | 0.487  | 0.336  | 0.2348 | 0.5913 
ours-0-26k| 0.8348 | 0.8547 | 0.742  | 0.928  | 0.9653 | 0.742  | 0.368  | 0.241  | 0.7095 
ours-0-22k| 0.8333 | 0.8518 | 0.738  | 0.9278 | 0.9658 | 0.738  | 0.3677 | 0.2408 | 0.7079 
ours-0-24k| 0.8289 | 0.8489 | 0.735  | 0.922  | 0.9711 | 0.735  | 0.365  | 0.2418 | 0.706  
ours-1-27k| 0.8261 | 0.8463 | 0.733  | 0.9217 | 0.9676 | 0.733  | 0.3657 | 0.2418 | 0.7044 
ours-0-19k| 0.8254 | 0.8483 | 0.732  | 0.9238 | 0.967  | 0.732  | 0.3657 | 0.2408 | 0.7044 
ours-0-23k| 0.826  | 0.8423 | 0.724  | 0.9257 | 0.9656 | 0.724  | 0.3667 | 0.241  | 0.7019 
ours-0-21k| 0.8238 | 0.8439 | 0.724  | 0.9223 | 0.9658 | 0.724  | 0.3643 | 0.2406 | 0.7011 
ours-0-17k| 0.8197 | 0.8406 |  0.72  | 0.9223 | 0.9687 |  0.72  | 0.3657 | 0.2424 | 0.6999 
ours-0-20k| 0.8217 | 0.841  | 0.718  | 0.9235 | 0.9679 | 0.718  | 0.364  | 0.241  | 0.6994 
ours-0-25k| 0.8205 | 0.8396 | 0.718  | 0.9168 | 0.9694 | 0.718  | 0.363  | 0.2418 | 0.6984 
ours-0-16k| 0.8136 | 0.8349 |  0.71  | 0.9252 | 0.9658 |  0.71  | 0.366  | 0.2408 | 0.6958 
ours-0-14k| 0.8156 | 0.8366 | 0.715  | 0.9157 | 0.9654 | 0.715  | 0.3603 | 0.2406 | 0.6955 
ours-0-18k| 0.8149 | 0.8337 | 0.709  | 0.9238 | 0.9663 | 0.709  | 0.3657 | 0.2412 | 0.6954 
ours-0-13k| 0.8105 | 0.8296 | 0.699  | 0.9238 | 0.9644 | 0.699  | 0.3637 | 0.2388 | 0.6911 
ours-0-15k| 0.8078 | 0.828  | 0.695  | 0.9192 | 0.9637 | 0.695  | 0.3633 | 0.2398 | 0.689  
ours-0-10k| 0.7935 | 0.815  |  0.67  | 0.9182 | 0.9621 |  0.67  |  0.36  | 0.2386 | 0.6784 
ours-0-12k| 0.7887 | 0.8079 | 0.662  | 0.9148 | 0.9593 | 0.662  | 0.3593 | 0.2382 | 0.674  
ours-0-11k| 0.7868 | 0.8044 | 0.654  | 0.9202 | 0.9637 | 0.654  | 0.3617 | 0.2388 | 0.6729 
ours-0-9k | 0.7849 | 0.8048 | 0.658  | 0.912  | 0.9589 | 0.658  | 0.357  | 0.2368 | 0.6713 
ours-0-6k | 0.7822 | 0.8025 | 0.649  | 0.9203 | 0.9602 | 0.649  | 0.3603 | 0.2372 | 0.6701 
ours-0-8k | 0.7819 | 0.8035 | 0.652  | 0.9132 | 0.9619 | 0.652  | 0.358  | 0.2378 |  0.67  
ours-0-5k | 0.7759 | 0.7967 | 0.645  | 0.9062 | 0.9577 | 0.645  | 0.3543 | 0.2368 | 0.6647 
ours-0-7k | 0.7661 | 0.7862 | 0.621  | 0.9117 | 0.9628 | 0.621  | 0.3583 | 0.238  | 0.6581 
ours-0-4k | 0.7661 | 0.7857 | 0.619  | 0.9153 | 0.9587 | 0.619  | 0.3593 | 0.2366 | 0.6575 
ours-0-3k | 0.7608 | 0.7811 | 0.609  | 0.9078 | 0.9588 | 0.609  | 0.3543 | 0.2356 | 0.6521 
ours-0-2k | 0.7534 | 0.7728 | 0.598  | 0.9058 | 0.9589 | 0.598  | 0.3547 | 0.2366 | 0.6473 
ours-0-1k | 0.7512 | 0.7668 | 0.593  | 0.907  | 0.9528 | 0.593  | 0.3547 | 0.2354 | 0.6442 
ours-1-36k| 0.5431 | 0.5524 | 0.304  | 0.7175 | 0.876  | 0.304  | 0.279  | 0.2132 | 0.4736 
ours-1-30k| 0.5456 | 0.5502 |  0.3   | 0.7108 | 0.8769 |  0.3   | 0.2727 | 0.2126 | 0.4711 
ours-3-101k| 0.5455 | 0.5537 | 0.321  | 0.6977 | 0.8561 | 0.321  | 0.266  | 0.207  | 0.471  
ours-1-32k| 0.5396 | 0.5464 | 0.307  | 0.6922 | 0.862  | 0.307  | 0.2663 |  0.21  | 0.4663 
ours-1-29k| 0.5339 | 0.5416 |  0.29  | 0.6975 | 0.8717 |  0.29  | 0.2683 | 0.212  | 0.4631 
ours-4-118k| 0.5307 | 0.5399 | 0.295  |  0.7   | 0.8599 | 0.295  |  0.27  | 0.2108 | 0.4627 
ours-2-75k| 0.5324 | 0.5446 | 0.306  | 0.6912 | 0.8471 | 0.306  | 0.265  | 0.2056 | 0.4622 
ours-2-57k| 0.5348 | 0.5416 | 0.297  | 0.689  | 0.8577 | 0.297  | 0.267  | 0.2098 | 0.4617 
ours-4-125k| 0.5354 | 0.5433 | 0.307  | 0.6855 | 0.8468 | 0.307  | 0.2637 | 0.205  | 0.4617 
ours-2-62k| 0.5306 | 0.5362 | 0.291  | 0.6953 | 0.8544 | 0.291  | 0.2677 | 0.2094 | 0.4595 
ours-3-105k| 0.5378 | 0.5392 | 0.302  | 0.6832 | 0.8414 | 0.302  | 0.2587 | 0.2014 | 0.4582 
ours-4-126k| 0.5286 | 0.5388 | 0.299  | 0.6743 | 0.8554 | 0.299  | 0.2577 | 0.2072 | 0.4575 
ours-1-35k| 0.5301 | 0.5383 |  0.3   | 0.6732 | 0.852  |  0.3   | 0.2583 | 0.2064 | 0.4573 
ours-1-31k| 0.5201 | 0.5307 | 0.271  | 0.711  | 0.8602 | 0.271  | 0.2733 | 0.2108 | 0.456  
ours-1-34k| 0.5257 | 0.5342 |  0.28  | 0.6992 | 0.853  |  0.28  | 0.269  | 0.2068 | 0.456  
ours-2-53k| 0.528  | 0.5326 | 0.292  | 0.6845 | 0.8481 | 0.292  | 0.262  | 0.2032 | 0.4553 
ours-4-116k| 0.5216 | 0.5308 | 0.281  | 0.6952 | 0.854  | 0.281  | 0.2667 | 0.2068 | 0.4546 
ours-1-39k| 0.525  | 0.5337 | 0.298  | 0.6738 | 0.8445 | 0.298  | 0.2593 | 0.2046 | 0.4546 
ours-2-79k| 0.5289 | 0.5351 | 0.294  | 0.6763 | 0.8436 | 0.294  | 0.2593 | 0.2044 | 0.4545 
ours-1-37k| 0.5211 |  0.53  |  0.29  | 0.6732 | 0.857  |  0.29  | 0.2607 | 0.2074 | 0.4537 
ours-3-93k| 0.5254 | 0.5335 | 0.303  | 0.6633 | 0.8427 | 0.303  | 0.2553 | 0.2028 | 0.4536 
ours-4-119k| 0.5256 | 0.5323 | 0.283  | 0.6833 | 0.8445 | 0.283  | 0.2623 | 0.2034 | 0.4522 
ours-2-61k| 0.5281 | 0.5299 | 0.298  | 0.6578 | 0.8468 | 0.298  | 0.2523 | 0.2044 | 0.4519 
ours-3-80k| 0.5242 | 0.5346 | 0.304  |  0.66  | 0.8265 | 0.304  | 0.258  | 0.2024 | 0.4517 
ours-2-65k| 0.5249 | 0.5301 | 0.295  | 0.663  | 0.8434 | 0.295  | 0.2537 | 0.204  | 0.4511 
ours-2-59k| 0.5176 | 0.5244 | 0.277  | 0.6788 | 0.8558 | 0.277  | 0.2577 | 0.2064 | 0.4493 
ours-4-128k| 0.5199 | 0.5241 | 0.279  | 0.6713 | 0.8568 | 0.279  | 0.2557 | 0.2076 | 0.4492 
ours-1-52k| 0.512  | 0.5201 | 0.261  | 0.6932 | 0.8603 | 0.261  | 0.2673 | 0.2106 | 0.4482 
ours-4-124k| 0.5206 | 0.5277 | 0.277  | 0.6818 | 0.8385 | 0.277  | 0.2597 | 0.203  | 0.4482 
ours-1-28k| 0.5156 | 0.5222 | 0.262  | 0.694  | 0.8464 | 0.262  | 0.2683 | 0.2066 | 0.4471 
ours-3-96k| 0.5208 | 0.5243 | 0.288  | 0.6688 | 0.8297 | 0.288  | 0.255  | 0.2014 | 0.447  
ours-2-77k| 0.5161 | 0.5201 | 0.276  | 0.6827 | 0.8414 | 0.276  | 0.2597 | 0.2018 | 0.4467 
ours-4-129k| 0.5162 | 0.5224 | 0.278  | 0.6683 | 0.8507 | 0.278  | 0.2547 | 0.2054 | 0.4467 
ours-3-81k| 0.5174 | 0.522  | 0.275  | 0.6757 | 0.8407 | 0.275  | 0.259  | 0.2048 | 0.4462 
ours-4-109k| 0.5175 | 0.5192 | 0.275  | 0.6778 | 0.8375 | 0.275  | 0.2617 | 0.2032 | 0.4459 
ours-1-48k| 0.5203 | 0.5248 | 0.287  | 0.6573 | 0.834  | 0.287  | 0.2497 | 0.2018 | 0.4452 
ours-4-117k| 0.512  | 0.5215 | 0.273  | 0.6617 | 0.8513 | 0.273  | 0.2563 | 0.2084 | 0.4447 
ours-4-123k| 0.5208 | 0.5281 | 0.288  | 0.662  | 0.8182 | 0.288  | 0.2547 | 0.1972 | 0.4446 
ours-3-104k| 0.5149 | 0.5156 | 0.269  | 0.676  | 0.8464 | 0.269  | 0.258  | 0.2054 | 0.4443 
ours-2-54k| 0.5123 | 0.5207 |  0.28  | 0.6513 | 0.8475 |  0.28  | 0.2513 | 0.2054 | 0.4436 
ours-1-33k| 0.507  | 0.5165 | 0.259  | 0.6783 | 0.8577 | 0.259  | 0.2627 | 0.2076 | 0.4435 
ours-1-40k| 0.514  | 0.5189 | 0.282  | 0.6552 | 0.8379 | 0.282  | 0.251  | 0.2036 | 0.4431 
ours-4-111k| 0.5156 | 0.5166 | 0.273  | 0.6667 | 0.8431 | 0.273  | 0.2533 | 0.2026 | 0.443  
ours-3-98k| 0.5179 | 0.5221 | 0.283  | 0.6472 | 0.8393 | 0.283  | 0.2467 | 0.2008 | 0.4425 
ours-1-45k| 0.5132 | 0.5201 | 0.273  | 0.6555 | 0.8401 | 0.273  | 0.2513 | 0.2048 | 0.4414 
ours-2-55k| 0.5104 | 0.5176 | 0.283  | 0.6468 | 0.8351 | 0.283  | 0.2493 | 0.2024 | 0.441  
ours-2-60k| 0.5104 | 0.5158 | 0.285  | 0.6447 | 0.8329 | 0.285  | 0.249  | 0.2024 | 0.4406 
ours-2-76k| 0.5177 | 0.5186 |  0.28  | 0.6457 | 0.8371 |  0.28  | 0.2443 | 0.2006 | 0.4405 
ours-3-91k| 0.5097 | 0.5122 | 0.268  | 0.6595 | 0.8414 | 0.268  | 0.255  | 0.2056 | 0.4399 
ours-1-47k| 0.5057 | 0.5123 | 0.269  | 0.6635 | 0.8332 | 0.269  | 0.2553 | 0.2022 | 0.4388 
ours-3-102k| 0.5145 | 0.5134 | 0.268  | 0.6605 | 0.8335 | 0.268  | 0.2497 | 0.2012 | 0.4386 
ours-3-103k| 0.5099 | 0.5131 | 0.264  | 0.6715 | 0.8319 | 0.264  | 0.2537 | 0.1996 | 0.4385 
ours-3-92k| 0.5111 | 0.5118 | 0.263  | 0.6673 | 0.8297 | 0.263  | 0.2573 | 0.2006 | 0.438  
ours-2-64k| 0.5097 | 0.5112 | 0.263  | 0.6593 | 0.8368 | 0.263  | 0.2533 | 0.203  | 0.4374 
ours-3-83k| 0.5092 | 0.5114 |  0.26  | 0.6653 | 0.8373 |  0.26  | 0.254  | 0.2014 | 0.4373 
ours-4-106k| 0.5062 | 0.5109 | 0.272  | 0.6502 | 0.8267 | 0.272  | 0.2497 | 0.2016 | 0.4362 
ours-2-67k| 0.5034 | 0.5073 | 0.264  | 0.649  | 0.8456 | 0.264  | 0.249  | 0.2056 | 0.436  
ours-3-95k| 0.5061 | 0.5118 | 0.266  | 0.6495 | 0.8316 | 0.266  | 0.2507 | 0.2024 | 0.4355 
ours-2-71k| 0.5076 | 0.5101 | 0.269  | 0.6422 | 0.8359 | 0.269  | 0.2447 | 0.2036 | 0.4352 
ours-2-56k| 0.5106 | 0.5122 | 0.271  | 0.6483 | 0.8244 | 0.271  | 0.2453 | 0.1978 | 0.4351 
ours-3-100k| 0.5035 | 0.5074 | 0.256  | 0.6625 | 0.8405 | 0.256  | 0.2513 | 0.203  | 0.435  
ours-2-58k| 0.4976 | 0.5074 | 0.259  | 0.6622 | 0.8363 | 0.259  | 0.253  | 0.2036 | 0.4348 
ours-2-69k| 0.503  | 0.5129 | 0.275  | 0.6437 | 0.8224 | 0.275  | 0.247  | 0.1976 | 0.4346 
ours-4-121k| 0.5011 | 0.5073 | 0.255  | 0.6647 | 0.8348 | 0.255  | 0.255  | 0.2032 | 0.4345 
ours-1-44k| 0.5022 | 0.5055 | 0.259  | 0.6537 | 0.8402 | 0.259  | 0.2507 | 0.2052 | 0.4344 
ours-4-131k| 0.5064 | 0.5097 | 0.262  | 0.6485 | 0.835  | 0.262  | 0.2477 | 0.2026 | 0.4342 
ours-2-74k| 0.5011 | 0.5114 | 0.262  | 0.647  | 0.8368 | 0.262  | 0.2493 | 0.204  | 0.4342 
ours-3-89k| 0.5078 | 0.5073 | 0.257  | 0.6547 | 0.8368 | 0.257  | 0.2463 | 0.199  | 0.4332 
ours-4-110k| 0.5008 | 0.508  |  0.25  | 0.6658 | 0.8361 |  0.25  | 0.2537 | 0.2004 | 0.4331 
ours-1-43k| 0.5014 | 0.5087 | 0.263  | 0.6438 | 0.8263 | 0.263  | 0.2483 | 0.202  | 0.4321 
ours-3-86k| 0.5002 | 0.5017 | 0.248  | 0.6682 | 0.8341 | 0.248  | 0.2543 | 0.2014 | 0.432  
ours-4-130k| 0.5021 | 0.5061 | 0.256  | 0.6565 | 0.831  | 0.256  | 0.2477 | 0.1984 | 0.4317 
ours-1-42k| 0.5006 | 0.5049 | 0.266  | 0.6372 | 0.8277 | 0.266  | 0.2447 | 0.201  | 0.431  
ours-1-46k| 0.4986 | 0.5005 | 0.247  | 0.6613 | 0.8357 | 0.247  | 0.251  | 0.201  | 0.4303 
ours-4-127k| 0.4973 | 0.5027 | 0.259  | 0.6372 | 0.8363 | 0.259  | 0.2447 | 0.2028 | 0.4299 
ours-3-97k| 0.4983 | 0.5067 | 0.265  | 0.6415 | 0.8191 | 0.265  | 0.246  | 0.1972 | 0.4299 
ours-2-78k| 0.4992 | 0.4966 | 0.242  | 0.6643 | 0.8362 | 0.242  | 0.2533 | 0.2024 | 0.4295 
ours-4-112k| 0.5034 | 0.5028 |  0.26  | 0.638  | 0.8292 |  0.26  | 0.2407 | 0.1984 | 0.4291 
ours-2-68k| 0.4943 | 0.5025 | 0.258  | 0.643  | 0.828  | 0.258  | 0.2457 | 0.1988 | 0.4285 
ours-4-108k| 0.5023 | 0.5041 | 0.254  | 0.6422 | 0.8258 | 0.254  | 0.246  | 0.1986 | 0.4284 
ours-4-107k| 0.5017 | 0.5026 | 0.263  | 0.6348 | 0.8194 | 0.263  | 0.2413 | 0.1972 | 0.4279 
ours-3-88k| 0.5014 | 0.5013 |  0.25  | 0.6542 | 0.8199 |  0.25  | 0.248  | 0.1966 | 0.4277 
