Test folder: ./output/december/mpnet_only_supervise_label_50739/data_all_50739/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-0-45k| 0.8554 | 0.8759 |  0.78  | 0.9388 | 0.9717 |  0.78  | 0.374  | 0.2446 | 0.7276 
ours-1-62k| 0.8553 | 0.8759 | 0.783  | 0.9335 | 0.9699 | 0.783  | 0.373  | 0.2444 | 0.7273 
ours-1-59k| 0.8555 | 0.8744 | 0.777  | 0.9422 | 0.9729 | 0.777  | 0.3753 | 0.2438 | 0.7273 
ours-1-51k| 0.8548 | 0.874  | 0.776  | 0.9433 | 0.9735 | 0.776  | 0.3753 | 0.2442 | 0.7271 
ours-1-73k| 0.8573 | 0.8767 | 0.779  | 0.9363 | 0.9709 | 0.779  | 0.373  | 0.2434 | 0.7269 
ours-1-74k| 0.8555 | 0.8734 | 0.771  | 0.9448 | 0.9733 | 0.771  | 0.377  | 0.244  | 0.7263 
ours-0-44k| 0.8541 | 0.8734 | 0.777  | 0.9362 | 0.9709 | 0.777  | 0.3723 | 0.2424 | 0.7254 
ours-0-48k| 0.852  | 0.8707 | 0.773  | 0.9402 | 0.9737 | 0.773  | 0.3747 | 0.2444 | 0.7252 
ours-0-49k| 0.8523 | 0.8725 | 0.773  | 0.9385 | 0.9709 | 0.773  | 0.3737 | 0.243  | 0.7246 
ours-1-53k| 0.8526 | 0.8734 | 0.775  | 0.9328 | 0.9724 | 0.775  | 0.371  | 0.2438 | 0.7245 
ours-1-63k| 0.8528 | 0.8717 | 0.771  | 0.9383 | 0.9732 | 0.771  | 0.3733 | 0.2444 | 0.7245 
ours-1-54k| 0.8534 | 0.8708 |  0.77  | 0.9412 | 0.9699 |  0.77  | 0.3763 | 0.2438 | 0.7244 
ours-0-50k| 0.8501 | 0.8711 | 0.772  | 0.9392 | 0.9737 | 0.772  | 0.3727 | 0.2444 | 0.7244 
ours-1-57k| 0.8524 | 0.8727 | 0.775  | 0.9342 | 0.9711 | 0.775  | 0.3707 | 0.2428 | 0.7242 
ours-0-42k| 0.8523 | 0.8702 | 0.769  | 0.939  | 0.9735 | 0.769  | 0.3733 | 0.243  | 0.7237 
ours-0-46k| 0.8504 | 0.869  | 0.768  | 0.9372 | 0.9725 | 0.768  | 0.3733 | 0.2442 | 0.7228 
ours-0-47k| 0.8503 | 0.869  | 0.768  | 0.9337 | 0.9747 | 0.768  | 0.3703 | 0.2444 | 0.7223 
ours-0-30k| 0.843  | 0.866  | 0.766  | 0.9303 | 0.9669 | 0.766  | 0.3697 | 0.2416 | 0.7187 
ours-1-52k| 0.8436 | 0.8616 | 0.754  | 0.9415 | 0.9705 | 0.754  | 0.3723 | 0.2424 | 0.7175 
ours-0-39k| 0.844  | 0.8629 | 0.758  | 0.9315 | 0.9688 | 0.758  | 0.3693 | 0.242  | 0.7168 
ours-1-55k| 0.8415 | 0.8604 |  0.75  | 0.9397 | 0.9724 |  0.75  | 0.3743 | 0.2456 | 0.7167 
ours-1-56k| 0.8419 | 0.8609 | 0.754  | 0.9352 | 0.9718 | 0.754  | 0.372  | 0.244  | 0.7167 
ours-0-37k| 0.8426 | 0.8628 | 0.755  | 0.9345 | 0.9698 | 0.755  |  0.37  | 0.2418 | 0.7164 
ours-0-43k| 0.8422 | 0.8607 | 0.752  | 0.9362 | 0.971  | 0.752  | 0.3727 | 0.2432 | 0.7162 
ours-0-40k| 0.8398 | 0.8583 | 0.748  | 0.9352 | 0.9719 | 0.748  | 0.373  | 0.2434 | 0.7147 
ours-0-33k| 0.8367 | 0.8568 | 0.751  | 0.931  | 0.9644 | 0.751  | 0.3703 | 0.2408 | 0.7128 
ours-0-41k| 0.839  | 0.857  | 0.745  | 0.9325 | 0.9702 | 0.745  |  0.37  | 0.2422 | 0.7126 
ours-0-38k| 0.8367 | 0.8578 | 0.745  | 0.9352 | 0.9681 | 0.745  | 0.3693 | 0.2414 | 0.7123 
ours-0-31k| 0.8354 | 0.8552 | 0.749  | 0.9308 | 0.965  | 0.749  |  0.37  | 0.2412 | 0.712  
ours-0-36k| 0.8359 | 0.856  | 0.746  | 0.9333 | 0.9682 | 0.746  | 0.369  | 0.2406 | 0.7119 
ours-0-32k| 0.835  | 0.8546 | 0.751  | 0.9278 | 0.9668 | 0.751  | 0.366  | 0.2408 | 0.7116 
ours-0-35k| 0.8342 | 0.8549 | 0.742  | 0.9277 | 0.9689 | 0.742  | 0.366  | 0.2408 | 0.7096 
ours-0-26k| 0.8285 | 0.8505 | 0.736  | 0.9313 | 0.9675 | 0.736  | 0.369  | 0.2408 | 0.7075 
ours-0-34k| 0.8279 | 0.8486 | 0.733  | 0.9262 | 0.9678 | 0.733  | 0.3663 | 0.241  | 0.7055 
ours-0-27k| 0.8271 | 0.8489 | 0.733  | 0.9273 | 0.9655 | 0.733  | 0.3677 | 0.2404 | 0.7054 
ours-0-25k| 0.8239 | 0.8461 | 0.729  | 0.9248 | 0.969  | 0.729  | 0.3657 | 0.2412 | 0.7036 
ours-0-28k| 0.8258 | 0.845  | 0.732  | 0.918  | 0.967  | 0.732  | 0.364  | 0.2408 | 0.7031 
ours-0-29k| 0.8257 | 0.846  |  0.73  | 0.9248 | 0.9614 |  0.73  | 0.3663 | 0.2388 | 0.7029 
ours-0-24k| 0.8244 | 0.8426 | 0.724  | 0.9247 | 0.9649 | 0.724  | 0.3673 | 0.2394 | 0.7014 
ours-0-22k| 0.8211 | 0.8431 | 0.723  | 0.9237 | 0.9664 | 0.723  | 0.3667 | 0.2418 | 0.7011 
ours-0-23k| 0.8223 | 0.8409 | 0.724  | 0.9207 | 0.9606 | 0.724  | 0.3643 | 0.2386 | 0.6994 
ours-0-21k| 0.8207 | 0.8409 | 0.723  | 0.9175 | 0.9646 | 0.723  | 0.3617 | 0.2388 | 0.6988 
ours-0-20k| 0.819  | 0.8397 | 0.719  | 0.9177 | 0.9622 | 0.719  | 0.362  | 0.2386 | 0.6972 
ours-0-19k| 0.8163 | 0.836  | 0.713  | 0.9167 | 0.9627 | 0.713  | 0.3613 | 0.2392 | 0.6948 
ours-0-18k| 0.817  | 0.8353 | 0.708  | 0.9227 | 0.9652 | 0.708  | 0.3633 | 0.2384 | 0.6947 
ours-0-17k| 0.8128 | 0.8314 | 0.699  | 0.925  | 0.9646 | 0.699  | 0.364  | 0.2396 | 0.6919 
ours-0-15k| 0.8083 | 0.8265 | 0.694  | 0.9187 | 0.966  | 0.694  | 0.3613 |  0.24  | 0.6886 
ours-0-14k| 0.8037 | 0.8219 | 0.687  | 0.9167 | 0.9587 | 0.687  | 0.3613 | 0.2376 | 0.6842 
ours-0-16k| 0.8025 | 0.8205 | 0.683  | 0.919  | 0.9637 | 0.683  | 0.3613 | 0.2394 | 0.6841 
ours-0-11k| 0.7957 | 0.8152 | 0.672  | 0.9143 | 0.9607 | 0.672  | 0.359  | 0.2384 | 0.6784 
ours-0-12k| 0.7962 | 0.8152 | 0.678  | 0.9027 | 0.9599 | 0.678  | 0.354  | 0.2374 | 0.6777 
ours-0-13k| 0.7888 | 0.8108 | 0.667  | 0.9088 | 0.963  | 0.667  | 0.3547 | 0.2392 | 0.6749 
ours-0-10k| 0.7894 | 0.8086 | 0.663  | 0.9103 | 0.9566 | 0.663  | 0.3563 | 0.2362 | 0.6729 
ours-0-9k | 0.7854 | 0.8039 | 0.654  | 0.9152 | 0.9594 | 0.654  | 0.3597 | 0.2386 | 0.6713 
ours-0-6k | 0.7756 | 0.7958 | 0.643  | 0.916  | 0.9595 | 0.643  | 0.3597 | 0.2378 | 0.6663 
ours-0-8k |  0.78  | 0.7978 | 0.644  | 0.908  | 0.9596 | 0.644  | 0.3557 | 0.2376 | 0.6658 
ours-0-7k | 0.7765 | 0.7959 | 0.643  | 0.9065 | 0.9582 | 0.643  | 0.357  | 0.2372 | 0.6647 
ours-0-4k | 0.7707 | 0.7899 | 0.626  | 0.9153 | 0.9574 | 0.626  | 0.358  | 0.2366 |  0.66  
ours-0-5k | 0.7705 | 0.7884 | 0.628  | 0.9117 | 0.9569 | 0.628  | 0.357  | 0.2366 | 0.6596 
ours-0-3k | 0.7592 | 0.7799 | 0.613  | 0.9047 | 0.9567 | 0.613  | 0.353  | 0.2366 | 0.652  
ours-0-2k | 0.7483 | 0.767  | 0.592  | 0.9053 | 0.9554 | 0.592  | 0.3527 | 0.236  | 0.6436 
ours-0-1k | 0.7465 | 0.7643 | 0.589  | 0.8975 | 0.9547 | 0.589  |  0.35  | 0.235  | 0.6407 
